"title" "path"
"59" "[新聞] 從菜販到烏干達棋后 傳記電影撼動人心" "/bbs/movie/M.1475389688.A.7E6.html"
"60" "[新聞] 柴克艾弗隆正在發展華爾街背景電影" "/bbs/movie/M.1475389767.A.8A1.html"
"61" "[請益] 歌喉讚1的問題（有雷）" "/bbs/movie/M.1475390433.A.753.html"
"62" "[請益] Live 七號房的禮物 緯來電影台" "/bbs/movie/M.1475390688.A.AEB.html"
"63" "[新聞] 麥克法斯賓達奉女友艾莉西亞為繆思女神　" "/bbs/movie/M.1475391640.A.1A5.html"
"64" "Re: [有雷]厲陰宅最後如何降伏邪靈? " "/bbs/movie/M.1475393851.A.AD6.html"
"65" "Re: [爛片]怪奇孤兒院o'_'o" "/bbs/movie/M.1475395074.A.EF2.html"
"66" "[普雷] 暫時停止呼吸-今年最恐怖電影!?" "/bbs/movie/M.1475395655.A.8E4.html"
"67" "[問片] 問一部洋片(有結局雷)" "/bbs/movie/M.1475399070.A.7D3.html"
"68" "[請益] 經典片" "/bbs/movie/M.1475400253.A.8F0.html"
"69" "[好雷] 聽說桐島退社了" "/bbs/movie/M.1475400700.A.1AD.html"
"70" "[討論] 你們認同這部是最棒的韓國喜劇片嗎？" "/bbs/movie/M.1475405881.A.FC2.html"
"71" "[負雷] 為你說的謊" "/bbs/movie/M.1475406474.A.BFB.html"
"72" "[問片] 很久以前看過的感人電影" "/bbs/movie/M.1475409061.A.329.html"
"73" "[問片] 壞人要追殺一對男女小孩子" "/bbs/movie/M.1475409629.A.90E.html"
"74" "[有雷]怪奇孤兒院中關於「眼珠」的隱喻 " "/bbs/movie/M.1475410510.A.D1B.html"
"75" "[好雷] 《殿下萬萬稅》（殿、利息<U+3067><U+3054><U+3056><U+308B>！）" "/bbs/movie/M.1475411219.A.3F7.html"
"76" "[Live] 史努比 The Peanuts Movie" "/bbs/movie/M.1475411494.A.703.html"
"77" "[請益] 美國隊長3裡酷寒戰士的問題" "/bbs/movie/M.1475413261.A.1F1.html"
"78" "[莫名雷] 天之茶助...無意自圓其說的荒謬劇本" "/bbs/movie/M.1475414912.A.399.html"
"79" "[好雷]暫時停止呼吸觀後感 " "/bbs/movie/M.1475416739.A.971.html"
"80" "[問片] 黑白 恐怖片 很多小孩子" "/bbs/movie/M.1475416805.A.1EB.html"
"81" "Re: [討論] 黑色追緝令哪個場景最經典？" "/bbs/movie/M.1475417167.A.94C.html"
"82" "[新聞] 許冠文砍片酬演出 金馬爭帝沒信心" "/bbs/movie/M.1475417899.A.298.html"
"83" "[新聞] 納豆爭金馬男配 嘆不曾被當成演員" "/bbs/movie/M.1475417929.A.298.html"
"84" "[片單] 有關謊言但最後被拆穿的電影" "/bbs/movie/M.1475418726.A.F1C.html"
"85" "Re: [搞得我好舒服雷] 時空叛逃者   好幾個疑問QQ" "/bbs/movie/M.1475419715.A.E00.html"
"86" "[有雷] 神鬼駭客：史諾登" "/bbs/movie/M.1475420550.A.E54.html"
"87" "Re: [好雷] 使徒行者讓人摸不著頭緒" "/bbs/movie/M.1475420802.A.08D.html"
"88" "[問片] 關於孤兒 實驗的電影(應該有結局雷)" "/bbs/movie/M.1475421276.A.891.html"
"89" "[片單] 有偏冷門好看的韓國愛情or親情電影嗎?" "/bbs/movie/M.1475421688.A.600.html"
"90" "[新聞]《怒火地平線》壓力大 馬克華柏格惡夢連發" "/bbs/movie/M.1475421722.A.71D.html"
"91" "[好雷] 暫時停止呼吸" "/bbs/movie/M.1475424169.A.51B.html"
"92" "[新聞] 電影幕後功臣　她用這些破爛打造完美音效" "/bbs/movie/M.1475429303.A.D64.html"
"93" "Re: [片單] 有偏冷門好看的韓國愛情or親情電影嗎?" "/bbs/movie/M.1475430216.A.B18.html"
"94" "[好雷]情書-不愧是日本純愛經典 " "/bbs/movie/M.1475431137.A.59D.html"
"95" "Re: [討論] 真的有人把電影院當自己家" "/bbs/movie/M.1475432197.A.90B.html"
"96" "[問片] 世界末日類型的片" "/bbs/movie/M.1475436977.A.996.html"
"97" "[討論] 怪奇孤兒院 趕火車？" "/bbs/movie/M.1475437421.A.C75.html"
"98" "[請益]現在有哪些導演超越或和李安同等級?" "/bbs/movie/M.1475449678.A.AB5.html"
"99" "[情報] 加勒比海盜．神鬼奇航：死無對證 前導預告" "/bbs/movie/M.1475457489.A.E23.html"
"100" "[片單] 性侵片段拍得不錯的電影" "/bbs/movie/M.1475459023.A.173.html"
